Latterbarrow,"Latterbarrow is a hill in the English Lake District, east of Hawkshead, Cumbria. Latterbarrow is home to an amazing variety of plants with over 200 species recorded. The underlying limestone rock, combined with a mix of grassland, ash and hazel woodland and scrub provides a variety of habitats. Yew and the rare Lancastrian whitebeam are particular features of the woodland, but the flower-rich grassland steals the show.  Ash and hazel woodland covers about half of the nature reserve. With early-purple orchid and cowslips opening the sequence in May, greater butterfly and fragrant orchids follow in June, and the display becomes even more colourful in July. By varying the timing of the grazing, flowers set seed periodically, which ensures the continuing diversity in the grassland. The resulting abundance of nectar makes Latterbarrow a haven for insect life. ",,,54.3840,-2.9742,nature
Rydal Cave,"Located on the slopes of Loughrigg Fell, Rydal Caves is one of the great free things to do in the Lake District. It is a man-made cave on the site of a former slate quarry, with stepping stones leading to a dry interior.",,,54.4433,-2.9964,nature
The Old Man of Coniston,"The Old Man of Coniston is a fell in the Furness Fells in the Cumbria, English Lake District and is the highest point (county top) of the historic county of Lancashire. It is at least 2,632.62 feet (802.42 m) high, and lies to the west of the village of Coniston and the lake, Coniston Water. The fell is sometimes known by the alternative name of Coniston Old Man, or simply The Old Man. The mountain is popular with tourists and fell-walkers with a number of well-marked paths to the summit. The mountain has also seen extensive copper and slate mining activity for eight hundred years, and the remains of abandoned mines and spoil tips are a significant feature of the north-east slopes.",,,54.3702,-3.1199,nature
Dow Crag,"Dow Crag is a fell in the English Lake District near Coniston, Cumbria. The eastern face is one of the many rock faces in the Lake District used for rock climbing. The name Dow Crag originally applied specifically to the eastern face which looks down upon the tarn of Goat's Water, the fell itself having no need for a name before the inception of hill walking in the 19th century. As with many fells the name of a prominent feature was then applied to the whole mass. Dow was originally named Doe and still locally pronounced as ""Doe"".",,,54.3703,-3.1368,nature
Friars Crag,"Friars Crag is a promontory overlooking Derwentwater near Keswick, Cumbria. Friars Crag is only a short walk from the town centre and well worth visiting as the view over Derwentwater to the jaws of Borrowdale is amazing. Just back from the Crag is a monument erected in 1900 in recognition of the writer and artist John Ruskin's first visit to Keswick in 1824. Years later he observed that the view from the Crag was one or the finest in Europe. He is also reputed to have said when he first saw Keswick that 'it was a place almost too beautiful to live in'.",,,54.5903,-3.1381,nature
Eagle Crag,"Eagle Crag is a fell in the Lake District in Cumbria, England, it is situated near the village of Stonethwaite where the valleys of Langstrath and Greenup join. Impressive walls of crag look down upon Stonethwaite, making Eagle Crag the most arresting sight from that settlement. It can be climbed direct by the average walker, picking a route between the rock faces.",,,54.4986,-3.1193,nature
Whitewater Dash,"Whitewater Dash is a spectacular waterfall on the Dash Beck in the Cumberland Lake District, east of Bassenthwaite. It is reckoned one of the finest waterfalls in Lakeland. The fall, sometimes called ‘Dash Falls’, is found in the narrow dale between Little Calva to the east and Bakestall, a subsidiary fell of mighty Skiddaw, to the west. It is just below the head of the valley Dash Beck, which begins on the felltop in Candleseaves Bog. The water gathered from the bog into a new river here tumbles in a long series of cascades down the precipitous sides of the fells towards the comparatively lower ground beneath, in which lies Bassenthwaite Lake. The dramatic course of the beck turns the water into a white ribbon and Wainwright called it the finest succession of falls in Lakeland. Nevertheless, the remote location leaves the fall relatively unvisited and unspoiled.",,,54.6727,-3.1237,nature
Lakeland Pony Treks,Lakeland Pony Treks is set on the edge of Limefitt Holiday Park based in the historic valley of Troutbeck only two miles away from the town of Windermere. Lakeland Pony Treks has a selection of horse rides to suit every age and ability. All beginner rides are off-road amongst the lovely scenery of the Troutbeck Valley.,,,54.4254,-2.8966,activity
Brockhole on Windermere -The Lake District Visitor Centre,"Located between Windermere and Ambleside, Brockhole on Windermere is the perfect place for all the family. It has a variety of outdoor (but covered) activities, an adventure playground, water sports, and boat hire. 

Opening times:
Visitors Centre, Café & Shop: 10am - 5pm
Gardens, grounds, carpark: 9am - 7.30pm
Boat Hire and Activities: 10am-5pm
TreeTop Trek and Nets: 10am - 4pm
The Gaddum Restaurant: 12-3pm. Closed Mondays

",,,54.4018,-2.9412,activity
Waterhead,"Windermere Lake ends a mile short of Ambleside at Waterhead, and can come as a shock to boat passengers expecting to be in the town. Crowded around the bay are boats, hotels, cafes, tourist shops, and places selling food for the ducks and swans.",,,54.4210,-2.9619,activity
