Name,Description,Latitude,Longitude,Marker
Dalemain Mansion & Historic Gardens,14th-century country house features large gardens and hosts an annual marmalade festival. Dalemain is one of the most beautiful and impressive stately houses in the North West of England. The finely dressed pink stone of its Georgian façade glows magnificently in the sunlight. Yet hidden behind the ordered geometry of its Palladian architecture is the story of its past.,54.6346,-2.8116,castle
Dacre Castle,"Dacre Castle is a moated tower house in the village of Dacre. It was constructed in the mid-14th century, probably by Margaret Multon, against the background of the threat of Scottish invasion and raids, and was held in the Dacre family until the 17th century.",54.6316,-2.8365,castle
Lowther Castle & Gardens,"Imposing castle ruins, its gardens, cafe and shop, home to the Earls of Lonsdale in medieval times.",54.605833,-2.740278,_castle
Aira Force Waterfall,"An 18th-century pleasure ground, Aira Force was the backdrop for William Wordsworth’s poem ‘Somnambulist’ – a Gothic tale of love and tragedy. There are so many woodland trails to discover in this landscape of contrasts. Quiet glades give way to dramatic waterfalls, with Aira Beck thundering down a 65-foot drop past ferns and rocks.",54.576303,-2.930905,waterfall
Stock Ghyll Force,Scenic 70-ft. waterfall in a wooded area with a viewpoint & industrial heritage.,54.431667,-2.970833,waterfall
Armitt Library & Museum Centre,"Unusual museum, gallery and library devoted to the extensive cultural heritage of the Lake District.",54.4343,-2.9633,museum
The Bridge House,"Tiny, whimsical 17th-century stone house, open for visits, on a bridge over Stock Beck River.",54.43378376,-2.96095008,castle
National Trust - Wray Castle,"Neo-gothic 1800s castle featuring a kid-friendly interior with play rooms, plus lakeside grounds.",54.400556,-2.964167,castle
Ambleside Roman Fort,"Set amid quiet farm fields, this area provides the remains of a Roman fort built in the 2nd century.",54.4223,-2.9688,castle
Holehird Gardens,Expansive hillside gardens featuring stunning landscaping & Victorian-style greenhouses.,54.3993,-2.9096,garden
Orrest Head Viewpoint,Miles Without Stiles 50: Orrest Head,54.38631569,-2.902784451,nature
Stagshaw Gardens,"Tranquil woodland garden featuring walking paths through trees, shrubs & flowers.",54.41753467,-2.955730276,garden
Blackwell,"Large, late-19th-century house full of furniture and objects by Arts and Crafts movement designers.",54.34330668,-2.922632831,castle
Windermere Jetty Museum - Stories of boats and steam,Family activities & displays of heritage boats at a lakeside museum with steam-launch tours.,54.37092768,-2.921458162,boat
Barkbooth Lot CWT Reserve,National reserve,54.30878537,-2.899794477,nature
Stott Park Bobbin Mill,"Producer of bobbins for local industries, with original machinery and a Victorian steam engine. The story of the Bobbin Mill is brought to life with tours and an exhibition. Visitors can also see the journey from tree to bobbin first hand during production on the original belt driven machinery. A hands-on family trail with dressing up for children helps visitors to imagine what it was like to work at the mill.",54.28552974,-2.965310908,museum
Hill Top - Beatrix Potter's farmhouse home,Beatrix Potter's 17th-century farmhouse: a time-capsule of her life,54.35179647,-2.969080814,writer
Beatrix Potter Gallery and Hawkshead,Beatrix Potter's original artwork on display in a 17th-century house,54.37517877,-2.998183829,writer
Latterbarrow,Hill peak,54.38354365,-2.975271504,nature
Brantwood,"Former home of artist John Ruskin, now a house museum with period furniture, gardens & art displays.",54.35409037,-3.056416632,museum
National Trust - Tarn Hows,"Popular, rustic nature area with walks around a picturesque lake bordered by conifer woods.",54.38180449,-3.033525142,nature
National Trust - Allan Bank and Grasmere,"Elegant 1800s villa & gardens once home to William Wordsworth, with a woodland walk & red squirrels.",54.46029268,-3.029241575,writer
Wordsworth Grasmere,"Former home of poet William Wordsworth, with a museum, guided tours, gardens & a tea room.",54.4545399,-3.015735927,writer
The Ruskin Museum,"Engaging collection with exhibits relating to John Ruskin and Donald Campbell, plus local heritage.",54.37020958,-3.075542212,museum
Ashness Bridge,Small stone packhorse bridge over a stream with picturesque lake views.,54.56779198,-3.130139085,landmark
Bowder Stone,"Enormous glacial rock resting at a seemingly precarious angle, with a metal staircase to the top.",54.53752012,-3.154130035,nature
Lodore Falls,"Powerful falls with several drops over huge rocks, reached by a short path through a wooded valley.",54.55803757,-3.137674587,waterfall
Mirehouse & Gardens,"Tranquil Cumbrian manor home with a park, plus strong literary and artistic connections.",54.64480288,-3.190660664,castle
Ravenglass Roman Bath House,Heritage building,54.35081313,-3.403664831,landmark
Muncaster Castle,"Muncaster has been owned by the Pennington family since the land was given to their ancestor Alan de Penitone in 1208. It’s grown from a medieval fortified tower-house or ‘pele’ tower, with many additions up to the late nineteenth century. Henry VI sought refuge here during the Wars of the Roses and left a glass drinking-bowl behind, saying if it remained unbroken the Penningtons would thrive. It’s still intact and is known as the ‘Luck of Muncaster’",54.35484941,-3.380021895,castle
Townend Farmhouse,"This perfectly preserved seventeenth century house gives you a glimpse into the life of a comfortably-off farming family. It was built in 1626 for George Browne, a newly-married ‘statesman’ farmer, whose family continued to live here for over 300 years. The house was extended in the late 1600s, but has hardly changed since that time. It includes some beautiful carved furniture made for the Brownes",54.41261173,-2.914490316,museum
Sizergh Castle and gardens,"Originally built by the Strickland family in c.1350, and then extended to become a grand Elizabethan residence, the Strickland family are still in residence. It houses an important collection of extremely rare carved oak furniture from the Elizabethan period along with portraits of the family through the years, managed by the National Trust parts of the castle and the gardens are open to visitors.",54.28428291,-2.770833625,castle
Rydal Mount House and Gardens,"Rydal Mount dates from the 16th Centuary and was William Wordsworth’s best loved family home from 1813 to his death in 1850 at the age of 80. The house continues to be owned by the Wordsworth family and retains the feel of a lived in family home, along with a 5 acre garden still in keeping with how William Wordsworth designed it. Rydal Mount has glorious views of Windermere, Rydal Water and the surrounding fells",54.44901565,-2.981353243,writer
Shap Abbey,"These lonely ruins are the remains of the once-powerful Shap Abbey. Built around 1200, it housed a thriving monastic community. The church, chapter-house and living areas were grouped around a square cloister. Outside are traces of guest rooms, stables, workshops and the Abbey mill. Henry VIII closed the Abbey in 1540 and it slowly decayed. Some of its stone was used to build Shap Market Hall. Managed by English Heritage.",54.53014175,-2.699771917,landmark
National Trust - Claife Viewing Station and Windermere West Shore,"Built in the 1790s and later expanded,  Claife Viewing Station had windows tinted with coloured glass, designed to recreate the landscape under different seasonal conditions. Yellow created a summer landscape, orange an autumn one, light green for spring, dark blue for moonlight and so on.",54.351,-2.9423,nature
Claife Heights,"Claife Heights is an upland area in the Lake District, near to Windermere in Cumbria, England. It has a topographic prominence of 177 metres (581 ft) so is classified as a Marilyn (a hill with prominence of at least 150m).",54.368056,-2.951944,nature
Threlkeld Quarry & Mining Museum,"The Threlkeld Quarry and Mining Museum is located in Threlkeld three miles (4.8 km) east of Keswick, in the heart of the Lake District. It is suited for families, school classes, and enthusiasts. It includes a quarry with a unique collection of historic machinery, such as locomotives and cranes, an underground tour of a realistic mine, a comprehensive geological and mining museum, and mineral panning.",54.613079,3.047075,museum
Galleny Force Waterfall,"Galleny Force Waterfall is a great place for spending time outdoors for the whole family. The area around the force is known locally as Fairy Glen. It is a magical place, with plunge pools in deep gorges, and boulders and trees. Fairy Glen is one of the best spots for wild swimming in the Lake District.",54.51065903,-3.111344954,waterfall
Moss Force Waterfall,"Moss Force is approximately 100 metres (328 ft) high, standing on Moss Beck which flows off the fell of Robinson. The Beck rises at a height of 540 metres, flowing across a boggy area known as Buttermere Moss before plunging down from a height of 420 metres in three distinct sections to form Moss Force. The top section, which is also the highest cascade, is split by an outcrop of rock and falls into a small pool surrounded by a few Rowan trees, then continues downwards through two smaller cascades. The middle cascade falls into a larger pool which has scattered Juniper around it. The bottom cascade is smallest of the three, after which the Beck enters a small wooded gorge containing further smaller falls. The Beck then levels out in the bottom of the Newlands Valley as it is joined by High Hole Beck and becomes Keskadale Beck.",54.5458,-3.2488,waterfall
